"Particular matter 1 concentration","Particular matter 10 concentration","Particular matter 10 AQI US ranking","Particular matter 25 concentration","Particular matter 25 AQI US ranking","Time of measurement","Air temperature in celsius","Air pressure","Air humidity"
10,22,20,14,55,"2023-06-16T18:00:00.000Z",21,99898,74
10,22,20,13,53,"2023-06-16T07:00:00.000Z",21,99896,60
10,19,17,12,50,"2023-06-16T08:00:00.000Z",21,99902,60
11,22,20,14,55,"2023-06-16T09:00:00.000Z",21,99899,60
13,25,23,16,59,"2023-06-16T10:00:00.000Z",22,99889,59
12,24,22,15,57,"2023-06-16T11:00:00.000Z",23,99864,55
12,27,25,16,59,"2023-06-16T12:00:00.000Z",23,99839,55
15,33,30,20,68,"2023-06-16T13:00:00.000Z",21,99857,70
13,25,23,16,59,"2023-06-16T14:00:00.000Z",20,99860,77
12,24,22,15,57,"2023-06-16T15:00:00.000Z",20,99817,78
10,24,22,14,55,"2023-06-16T16:00:00.000Z",21,99843,77
8,18,16,11,45,"2023-06-16T17:00:00.000Z",21,99880,74
13,35,32,19,65,"2023-06-18T20:00:00.000Z",20,100232,62
5,10,9,6,25,"2023-06-18T09:00:00.000Z",25,100216,41
6,12,11,7,29,"2023-06-18T10:00:00.000Z",25,100196,39
6,14,13,9,37,"2023-06-18T11:00:00.000Z",27,100174,37
6,12,11,8,33,"2023-06-18T12:00:00.000Z",28,100148,34
6,13,12,8,33,"2023-06-18T13:00:00.000Z",30,100120,33
6,13,12,8,33,"2023-06-18T14:00:00.000Z",31,100099,31
6,13,12,8,33,"2023-06-18T15:00:00.000Z",31,100088,30
6,12,11,8,33,"2023-06-18T16:00:00.000Z",29,100093,34
6,14,13,8,33,"2023-06-18T17:00:00.000Z",28,100106,38
8,25,23,13,53,"2023-06-18T18:00:00.000Z",24,100132,48
11,27,25,15,57,"2023-06-18T19:00:00.000Z",22,100197,55
10,20,18,13,53,"2023-06-17T09:00:00.000Z",22,99940,62
12,28,25,17,61,"2023-06-18T21:00:00.000Z",19,100235,67
11,24,22,15,57,"2023-06-18T22:00:00.000Z",18,100230,69
18,41,37,24,76,"2023-06-18T23:00:00.000Z",17,100222,71
17,39,35,23,74,"2023-06-19T00:00:00.000Z",17,100211,73
17,34,31,22,72,"2023-06-19T01:00:00.000Z",16,100201,74
15,32,29,20,68,"2023-06-19T02:00:00.000Z",16,100199,76
16,36,33,22,72,"2023-06-19T03:00:00.000Z",16,100207,77
18,42,38,24,76,"2023-06-19T04:00:00.000Z",18,100221,73
11,27,25,15,57,"2023-06-19T05:00:00.000Z",22,100236,62
8,20,18,11,45,"2023-06-19T06:00:00.000Z",26,100264,48
11,23,21,14,55,"2023-06-17T08:00:00.000Z",20,99938,68
5,11,10,6,25,"2023-06-18T07:00:00.000Z",22,100237,51
5,10,9,6,25,"2023-06-18T08:00:00.000Z",23,100228,47
10,23,21,13,53,"2023-06-17T10:00:00.000Z",23,99927,59
10,23,21,14,55,"2023-06-17T11:00:00.000Z",24,99897,52
7,18,16,11,45,"2023-06-17T12:00:00.000Z",25,99870,44
5,12,11,7,29,"2023-06-17T14:00:00.000Z",26,99864,45
4,10,9,5,21,"2023-06-17T15:00:00.000Z",25,99848,44
3,8,7,4,17,"2023-06-17T16:00:00.000Z",26,99874,41
2,6,5,3,12,"2023-06-17T17:00:00.000Z",24,99917,46
3,8,7,4,17,"2023-06-17T18:00:00.000Z",21,99973,54
7,19,17,10,41,"2023-06-17T19:00:00.000Z",19,100039,60
9,21,19,13,53,"2023-06-17T20:00:00.000Z",18,100055,65
6,11,10,7,29,"2023-06-17T22:00:00.000Z",16,100077,72
5,11,10,7,29,"2023-06-17T21:00:00.000Z",17,100055,68
7,15,14,9,37,"2023-06-18T06:00:00.000Z",20,100257,62
10,21,19,13,53,"2023-06-18T05:00:00.000Z",17,100225,73
11,22,20,14,55,"2023-06-18T04:00:00.000Z",14,100180,80
11,23,21,15,57,"2023-06-18T03:00:00.000Z",13,100155,83
10,20,18,13,53,"2023-06-18T02:00:00.000Z",14,100121,81
9,18,16,11,45,"2023-06-18T01:00:00.000Z",14,100100,78
7,15,14,9,37,"2023-06-18T00:00:00.000Z",15,100086,76
6,13,12,8,33,"2023-06-17T23:00:00.000Z",15,100081,74
10,20,18,13,53,"2023-06-17T09:00:00.000Z",22,99940,62
10,23,21,13,53,"2023-06-17T10:00:00.000Z",23,99927,59
10,23,21,14,55,"2023-06-17T11:00:00.000Z",24,99897,52
7,18,16,11,45,"2023-06-17T12:00:00.000Z",25,99870,44
7,16,15,9,37,"2023-06-17T13:00:00.000Z",24,99864,48
5,12,11,7,29,"2023-06-17T14:00:00.000Z",26,99864,45
4,10,9,5,21,"2023-06-17T15:00:00.000Z",25,99848,44
3,8,7,4,17,"2023-06-17T16:00:00.000Z",26,99874,41
2,6,5,3,12,"2023-06-17T17:00:00.000Z",24,99917,46
3,8,7,4,17,"2023-06-17T18:00:00.000Z",21,99973,54
7,19,17,10,41,"2023-06-17T19:00:00.000Z",19,100039,60
9,21,19,13,53,"2023-06-17T20:00:00.000Z",18,100055,65
5,11,10,7,29,"2023-06-17T21:00:00.000Z",17,100055,68
6,11,10,7,29,"2023-06-17T22:00:00.000Z",16,100077,72
6,13,12,8,33,"2023-06-17T23:00:00.000Z",15,100081,74
11,23,21,14,55,"2023-06-17T08:00:00.000Z",20,99938,68
11,27,25,16,59,"2023-06-17T07:00:00.000Z",18,99932,71
4,9,8,5,21,"2023-06-17T15:00:00.000Z",24,99925,44
5,10,9,6,25,"2023-06-17T14:00:00.000Z",24,99938,45
7,14,13,9,37,"2023-06-17T13:00:00.000Z",24,99937,44
8,16,15,10,41,"2023-06-17T12:00:00.000Z",25,99945,44
11,22,20,14,55,"2023-06-17T11:00:00.000Z",24,99973,48
10,21,19,13,53,"2023-06-17T10:00:00.000Z",23,100000,55
10,20,18,13,53,"2023-06-17T09:00:00.000Z",22,100011,57
11,23,21,14,55,"2023-06-17T08:00:00.000Z",21,100015,61
11,23,21,14,55,"2023-06-17T07:00:00.000Z",19,100003,65
11,24,22,15,57,"2023-06-17T06:00:00.000Z",18,99983,68
13,26,24,16,59,"2023-06-17T05:00:00.000Z",17,99952,71
14,28,25,18,63,"2023-06-17T04:00:00.000Z",17,99933,77
14,28,25,18,63,"2023-06-17T03:00:00.000Z",17,99909,82
6,13,12,8,33,"2023-06-18T15:00:00.000Z",31,100088,30
8,20,18,11,45,"2023-06-19T06:00:00.000Z",26,100264,48
11,27,25,15,57,"2023-06-19T05:00:00.000Z",22,100236,62
18,42,38,24,76,"2023-06-19T04:00:00.000Z",18,100221,73
16,36,33,22,72,"2023-06-19T03:00:00.000Z",16,100207,77
15,32,29,20,68,"2023-06-19T02:00:00.000Z",16,100199,76
17,34,31,22,72,"2023-06-19T01:00:00.000Z",16,100201,74
17,39,35,23,74,"2023-06-19T00:00:00.000Z",17,100211,73
18,41,37,24,76,"2023-06-18T23:00:00.000Z",17,100222,71
11,24,22,15,57,"2023-06-18T22:00:00.000Z",18,100230,69
12,28,25,17,61,"2023-06-18T21:00:00.000Z",19,100235,67
13,35,32,19,65,"2023-06-18T20:00:00.000Z",20,100232,62
11,27,25,15,57,"2023-06-18T19:00:00.000Z",22,100197,55
8,25,23,13,53,"2023-06-18T18:00:00.000Z",24,100132,48
6,14,13,8,33,"2023-06-18T17:00:00.000Z",28,100106,38
6,12,11,8,33,"2023-06-18T16:00:00.000Z",29,100093,34
7,15,14,9,37,"2023-06-18T00:00:00.000Z",15,100086,76
6,13,12,8,33,"2023-06-18T14:00:00.000Z",31,100099,31
6,13,12,8,33,"2023-06-18T13:00:00.000Z",30,100120,33
6,12,11,8,33,"2023-06-18T12:00:00.000Z",28,100148,34
6,14,13,9,37,"2023-06-18T11:00:00.000Z",27,100174,37
6,12,11,7,29,"2023-06-18T10:00:00.000Z",25,100196,39
5,10,9,6,25,"2023-06-18T09:00:00.000Z",25,100216,41
5,10,9,6,25,"2023-06-18T08:00:00.000Z",23,100228,47
5,11,10,6,25,"2023-06-18T07:00:00.000Z",22,100237,51
7,15,14,9,37,"2023-06-18T06:00:00.000Z",20,100257,62
10,21,19,13,53,"2023-06-18T05:00:00.000Z",17,100225,73
11,22,20,14,55,"2023-06-18T04:00:00.000Z",14,100180,80
11,23,21,15,57,"2023-06-18T03:00:00.000Z",13,100155,83
10,20,18,13,53,"2023-06-18T02:00:00.000Z",14,100121,81
9,18,16,11,45,"2023-06-18T01:00:00.000Z",14,100100,78
12,24,22,16,59,"2023-06-17T02:00:00.000Z",18,99871,80
13,25,23,16,59,"2023-06-17T01:00:00.000Z",18,99866,81
13,26,24,17,61,"2023-06-17T00:00:00.000Z",18,99886,81
13,25,23,16,59,"2023-06-16T23:00:00.000Z",19,99920,81
13,27,25,17,61,"2023-06-16T22:00:00.000Z",19,99928,81
16,33,30,21,70,"2023-06-16T21:00:00.000Z",19,99948,80
22,45,41,28,84,"2023-06-16T20:00:00.000Z",19,99982,85
18,40,36,24,76,"2023-06-16T19:00:00.000Z",19,99957,82
10,22,20,14,55,"2023-06-16T18:00:00.000Z",21,99898,74
8,18,16,11,45,"2023-06-16T17:00:00.000Z",21,99880,74
10,24,22,14,55,"2023-06-16T16:00:00.000Z",21,99843,77
12,24,22,15,57,"2023-06-16T15:00:00.000Z",20,99817,78
13,25,23,16,59,"2023-06-16T14:00:00.000Z",20,99860,77
15,33,30,20,68,"2023-06-16T13:00:00.000Z",21,99857,70
12,27,25,16,59,"2023-06-16T12:00:00.000Z",23,99839,55
12,24,22,15,57,"2023-06-16T11:00:00.000Z",23,99864,55
13,25,23,16,59,"2023-06-16T10:00:00.000Z",22,99889,59
11,22,20,14,55,"2023-06-16T09:00:00.000Z",21,99899,60
10,19,17,12,50,"2023-06-16T08:00:00.000Z",21,99902,60
10,22,20,13,53,"2023-06-16T07:00:00.000Z",21,99896,60
12,26,24,16,59,"2023-06-16T06:00:00.000Z",20,99881,61
10,23,21,14,55,"2023-06-16T05:00:00.000Z",19,99860,62
10,22,20,14,55,"2023-06-16T04:00:00.000Z",18,99859,61
10,19,17,12,50,"2023-06-16T03:00:00.000Z",18,99871,61
9,19,17,12,50,"2023-06-16T02:00:00.000Z",19,99875,58
9,17,15,11,45,"2023-06-16T01:00:00.000Z",19,99896,57
8,17,15,11,45,"2023-06-16T00:00:00.000Z",20,99918,57
7,15,14,9,37,"2023-06-15T23:00:00.000Z",19,99949,56
7,14,13,9,37,"2023-06-15T22:00:00.000Z",19,99993,56
8,16,15,10,41,"2023-06-15T21:00:00.000Z",20,100023,54
9,19,17,11,45,"2023-06-15T20:00:00.000Z",21,100037,55
12,24,22,15,57,"2023-06-15T19:00:00.000Z",22,100037,54
10,22,20,13,53,"2023-06-15T18:00:00.000Z",23,100019,51
7,15,14,9,37,"2023-06-15T17:00:00.000Z",23,100013,47
7,15,14,9,37,"2023-06-15T16:00:00.000Z",24,99996,41
3,8,7,5,21,"2023-06-18T09:00:00.000Z",29,100253,30
4,10,9,6,25,"2023-06-18T08:00:00.000Z",28,100263,35
4,9,8,5,21,"2023-06-18T07:00:00.000Z",26,100269,41
5,12,11,7,29,"2023-06-18T06:00:00.000Z",23,100289,50
6,15,14,9,37,"2023-06-18T05:00:00.000Z",19,100260,62
9,18,16,11,45,"2023-06-18T04:00:00.000Z",16,100216,73
10,22,20,13,53,"2023-06-18T03:00:00.000Z",14,100192,82
9,19,17,12,50,"2023-06-18T02:00:00.000Z",13,100160,82
8,17,15,11,45,"2023-06-18T01:00:00.000Z",14,100143,79
8,18,16,11,45,"2023-06-18T00:00:00.000Z",15,100126,76
6,13,12,8,33,"2023-06-17T23:00:00.000Z",16,100119,73
6,13,12,8,33,"2023-06-17T22:00:00.000Z",16,100115,70
6,15,14,8,33,"2023-06-17T21:00:00.000Z",17,100091,67
5,13,12,7,29,"2023-06-17T20:00:00.000Z",18,100094,63
4,11,10,6,25,"2023-06-17T19:00:00.000Z",19,100077,60
2,9,8,4,17,"2023-06-17T18:00:00.000Z",21,100013,55
2,7,6,4,17,"2023-06-17T17:00:00.000Z",22,99960,49
3,8,7,5,21,"2023-06-17T16:00:00.000Z",23,99904,44
5,12,11,7,29,"2023-06-17T15:00:00.000Z",23,99879,45
6,13,12,8,33,"2023-06-17T14:00:00.000Z",24,99890,45
7,16,15,10,41,"2023-06-17T13:00:00.000Z",25,99889,44
6,15,14,9,37,"2023-06-17T12:00:00.000Z",26,99898,41
9,19,17,12,50,"2023-06-17T11:00:00.000Z",27,99931,44
8,19,17,11,45,"2023-06-17T10:00:00.000Z",25,99968,52
9,20,18,12,50,"2023-06-17T09:00:00.000Z",23,99976,57
10,23,21,14,55,"2023-06-17T08:00:00.000Z",22,99981,60
10,22,20,13,53,"2023-06-17T07:00:00.000Z",19,99971,68
11,25,23,15,57,"2023-06-17T06:00:00.000Z",18,99950,71
13,28,25,17,61,"2023-06-17T05:00:00.000Z",16,99923,76
16,33,30,21,70,"2023-06-17T04:00:00.000Z",15,99905,87
16,33,30,20,68,"2023-06-17T03:00:00.000Z",15,99885,92
15,30,27,19,65,"2023-06-17T02:00:00.000Z",16,99848,90
15,31,28,20,68,"2023-06-17T01:00:00.000Z",16,99842,92
17,34,31,22,72,"2023-06-17T00:00:00.000Z",16,99863,92
16,33,30,21,70,"2023-06-16T23:00:00.000Z",16,99892,92
14,29,26,18,63,"2023-06-16T22:00:00.000Z",17,99898,90
13,27,25,17,61,"2023-06-16T21:00:00.000Z",18,99915,90
12,26,24,16,59,"2023-06-16T20:00:00.000Z",18,99951,89
15,36,33,21,70,"2023-06-16T19:00:00.000Z",18,99922,88
10,28,25,15,57,"2023-06-16T18:00:00.000Z",19,99866,84
7,18,16,10,41,"2023-06-16T17:00:00.000Z",20,99841,80
8,18,16,11,45,"2023-06-16T16:00:00.000Z",20,99809,81
8,16,15,10,41,"2023-06-16T15:00:00.000Z",20,99784,83
7,15,14,9,37,"2023-06-16T14:00:00.000Z",18,99823,84
7,16,15,10,41,"2023-06-16T13:00:00.000Z",21,99817,67
6,13,12,8,33,"2023-06-16T12:00:00.000Z",25,99802,51
6,14,13,9,37,"2023-06-16T11:00:00.000Z",25,99832,51
7,16,15,10,41,"2023-06-16T10:00:00.000Z",24,99857,54
8,20,18,11,45,"2023-06-19T06:00:00.000Z",26,100264,48
11,27,25,15,57,"2023-06-19T05:00:00.000Z",22,100236,62
18,42,38,24,76,"2023-06-19T04:00:00.000Z",18,100221,73
16,36,33,22,72,"2023-06-19T03:00:00.000Z",16,100207,77
15,32,29,20,68,"2023-06-19T02:00:00.000Z",16,100199,76
17,34,31,22,72,"2023-06-19T01:00:00.000Z",16,100201,74
17,39,35,23,74,"2023-06-19T00:00:00.000Z",17,100211,73
18,41,37,24,76,"2023-06-18T23:00:00.000Z",17,100222,71
11,24,22,15,57,"2023-06-18T22:00:00.000Z",18,100230,69
12,28,25,17,61,"2023-06-18T21:00:00.000Z",19,100235,67
13,35,32,19,65,"2023-06-18T20:00:00.000Z",20,100232,62
11,27,25,15,57,"2023-06-18T19:00:00.000Z",22,100197,55
8,25,23,13,53,"2023-06-18T18:00:00.000Z",24,100132,48
6,14,13,8,33,"2023-06-18T17:00:00.000Z",28,100106,38
6,12,11,8,33,"2023-06-18T16:00:00.000Z",29,100093,34
6,13,12,8,33,"2023-06-18T15:00:00.000Z",31,100088,30
6,13,12,8,33,"2023-06-18T14:00:00.000Z",31,100099,31
6,13,12,8,33,"2023-06-18T13:00:00.000Z",30,100120,33
6,12,11,8,33,"2023-06-18T12:00:00.000Z",28,100148,34
6,14,13,9,37,"2023-06-18T11:00:00.000Z",27,100174,37
6,12,11,7,29,"2023-06-18T10:00:00.000Z",25,100196,39
5,10,9,6,25,"2023-06-18T09:00:00.000Z",25,100216,41
5,10,9,6,25,"2023-06-18T08:00:00.000Z",23,100228,47
5,11,10,6,25,"2023-06-18T07:00:00.000Z",22,100237,51
7,15,14,9,37,"2023-06-18T06:00:00.000Z",20,100257,62
10,21,19,13,53,"2023-06-18T05:00:00.000Z",17,100225,73
11,22,20,14,55,"2023-06-18T04:00:00.000Z",14,100180,80
11,23,21,15,57,"2023-06-18T03:00:00.000Z",13,100155,83
10,20,18,13,53,"2023-06-18T02:00:00.000Z",14,100121,81
9,18,16,11,45,"2023-06-18T01:00:00.000Z",14,100100,78
7,15,14,9,37,"2023-06-18T00:00:00.000Z",15,100086,76
6,13,12,8,33,"2023-06-17T23:00:00.000Z",15,100081,74
6,11,10,7,29,"2023-06-17T22:00:00.000Z",16,100077,72
5,11,10,7,29,"2023-06-17T21:00:00.000Z",17,100055,68
9,21,19,13,53,"2023-06-17T20:00:00.000Z",18,100055,65
7,19,17,10,41,"2023-06-17T19:00:00.000Z",19,100039,60
3,8,7,4,17,"2023-06-17T18:00:00.000Z",21,99973,54
2,6,5,3,12,"2023-06-17T17:00:00.000Z",24,99917,46
3,8,7,4,17,"2023-06-17T16:00:00.000Z",26,99874,41
4,10,9,5,21,"2023-06-17T15:00:00.000Z",25,99848,44
5,12,11,7,29,"2023-06-17T14:00:00.000Z",26,99864,45
7,16,15,9,37,"2023-06-17T13:00:00.000Z",24,99864,48
7,18,16,11,45,"2023-06-17T12:00:00.000Z",25,99870,44
10,23,21,14,55,"2023-06-17T11:00:00.000Z",24,99897,52
10,23,21,13,53,"2023-06-17T10:00:00.000Z",23,99927,59
10,20,18,13,53,"2023-06-17T09:00:00.000Z",22,99940,62
11,23,21,14,55,"2023-06-17T08:00:00.000Z",20,99938,68
11,27,25,16,59,"2023-06-17T07:00:00.000Z",18,99932,71
4,9,8,5,21,"2023-06-17T15:00:00.000Z",24,99925,44
5,10,9,6,25,"2023-06-17T14:00:00.000Z",24,99938,45
7,14,13,9,37,"2023-06-17T13:00:00.000Z",24,99937,44
8,16,15,10,41,"2023-06-17T12:00:00.000Z",25,99945,44
11,22,20,14,55,"2023-06-17T11:00:00.000Z",24,99973,48
10,21,19,13,53,"2023-06-17T10:00:00.000Z",23,100000,55
10,20,18,13,53,"2023-06-17T09:00:00.000Z",22,100011,57
11,23,21,14,55,"2023-06-17T08:00:00.000Z",21,100015,61
11,23,21,14,55,"2023-06-17T07:00:00.000Z",19,100003,65
11,24,22,15,57,"2023-06-17T06:00:00.000Z",18,99983,68
13,26,24,16,59,"2023-06-17T05:00:00.000Z",17,99952,71
14,28,25,18,63,"2023-06-17T04:00:00.000Z",17,99933,77
14,28,25,18,63,"2023-06-17T03:00:00.000Z",17,99909,82
12,24,22,16,59,"2023-06-17T02:00:00.000Z",18,99871,80
13,25,23,16,59,"2023-06-17T01:00:00.000Z",18,99866,81
13,26,24,17,61,"2023-06-17T00:00:00.000Z",18,99886,81
13,25,23,16,59,"2023-06-16T23:00:00.000Z",19,99920,81
13,27,25,17,61,"2023-06-16T22:00:00.000Z",19,99928,81
16,33,30,21,70,"2023-06-16T21:00:00.000Z",19,99948,80
22,45,41,28,84,"2023-06-16T20:00:00.000Z",19,99982,85
18,40,36,24,76,"2023-06-16T19:00:00.000Z",19,99957,82
10,22,20,14,55,"2023-06-16T18:00:00.000Z",21,99898,74
8,18,16,11,45,"2023-06-16T17:00:00.000Z",21,99880,74
10,24,22,14,55,"2023-06-16T16:00:00.000Z",21,99843,77
12,24,22,15,57,"2023-06-16T15:00:00.000Z",20,99817,78
13,25,23,16,59,"2023-06-16T14:00:00.000Z",20,99860,77
15,33,30,20,68,"2023-06-16T13:00:00.000Z",21,99857,70
12,27,25,16,59,"2023-06-16T12:00:00.000Z",23,99839,55
12,24,22,15,57,"2023-06-16T11:00:00.000Z",23,99864,55
13,25,23,16,59,"2023-06-16T10:00:00.000Z",22,99889,59
11,22,20,14,55,"2023-06-16T09:00:00.000Z",21,99899,60
10,19,17,12,50,"2023-06-16T08:00:00.000Z",21,99902,60
10,22,20,13,53,"2023-06-16T07:00:00.000Z",21,99896,60
12,26,24,16,59,"2023-06-16T06:00:00.000Z",20,99881,61
10,23,21,14,55,"2023-06-16T05:00:00.000Z",19,99860,62
10,22,20,14,55,"2023-06-16T04:00:00.000Z",18,99859,61
10,19,17,12,50,"2023-06-16T03:00:00.000Z",18,99871,61
9,19,17,12,50,"2023-06-16T02:00:00.000Z",19,99875,58
9,17,15,11,45,"2023-06-16T01:00:00.000Z",19,99896,57
8,17,15,11,45,"2023-06-16T00:00:00.000Z",20,99918,57
7,15,14,9,37,"2023-06-15T23:00:00.000Z",19,99949,56
7,14,13,9,37,"2023-06-15T22:00:00.000Z",19,99993,56
8,16,15,10,41,"2023-06-15T21:00:00.000Z",20,100023,54
9,19,17,11,45,"2023-06-15T20:00:00.000Z",21,100037,55
12,24,22,15,57,"2023-06-15T19:00:00.000Z",22,100037,54
10,22,20,13,53,"2023-06-15T18:00:00.000Z",23,100019,51
7,15,14,9,37,"2023-06-15T17:00:00.000Z",23,100013,47
7,15,14,9,37,"2023-06-15T16:00:00.000Z",24,99996,41
3,8,7,5,21,"2023-06-18T09:00:00.000Z",29,100253,30
4,10,9,6,25,"2023-06-18T08:00:00.000Z",28,100263,35
4,9,8,5,21,"2023-06-18T07:00:00.000Z",26,100269,41
5,12,11,7,29,"2023-06-18T06:00:00.000Z",23,100289,50
6,15,14,9,37,"2023-06-18T05:00:00.000Z",19,100260,62
9,18,16,11,45,"2023-06-18T04:00:00.000Z",16,100216,73
10,22,20,13,53,"2023-06-18T03:00:00.000Z",14,100192,82
9,19,17,12,50,"2023-06-18T02:00:00.000Z",13,100160,82
8,17,15,11,45,"2023-06-18T01:00:00.000Z",14,100143,79
8,18,16,11,45,"2023-06-18T00:00:00.000Z",15,100126,76
6,13,12,8,33,"2023-06-17T23:00:00.000Z",16,100119,73
6,13,12,8,33,"2023-06-17T22:00:00.000Z",16,100115,70
6,15,14,8,33,"2023-06-17T21:00:00.000Z",17,100091,67
5,13,12,7,29,"2023-06-17T20:00:00.000Z",18,100094,63
4,11,10,6,25,"2023-06-17T19:00:00.000Z",19,100077,60
2,9,8,4,17,"2023-06-17T18:00:00.000Z",21,100013,55
2,7,6,4,17,"2023-06-17T17:00:00.000Z",22,99960,49
3,8,7,5,21,"2023-06-17T16:00:00.000Z",23,99904,44
5,12,11,7,29,"2023-06-17T15:00:00.000Z",23,99879,45
6,13,12,8,33,"2023-06-17T14:00:00.000Z",24,99890,45
7,16,15,10,41,"2023-06-17T13:00:00.000Z",25,99889,44
6,15,14,9,37,"2023-06-17T12:00:00.000Z",26,99898,41
9,19,17,12,50,"2023-06-17T11:00:00.000Z",27,99931,44
8,19,17,11,45,"2023-06-17T10:00:00.000Z",25,99968,52
9,20,18,12,50,"2023-06-17T09:00:00.000Z",23,99976,57
10,23,21,14,55,"2023-06-17T08:00:00.000Z",22,99981,60
10,22,20,13,53,"2023-06-17T07:00:00.000Z",19,99971,68
11,25,23,15,57,"2023-06-17T06:00:00.000Z",18,99950,71
13,28,25,17,61,"2023-06-17T05:00:00.000Z",16,99923,76
16,33,30,21,70,"2023-06-17T04:00:00.000Z",15,99905,87
16,33,30,20,68,"2023-06-17T03:00:00.000Z",15,99885,92
15,30,27,19,65,"2023-06-17T02:00:00.000Z",16,99848,90
15,31,28,20,68,"2023-06-17T01:00:00.000Z",16,99842,92
17,34,31,22,72,"2023-06-17T00:00:00.000Z",16,99863,92
16,33,30,21,70,"2023-06-16T23:00:00.000Z",16,99892,92
14,29,26,18,63,"2023-06-16T22:00:00.000Z",17,99898,90
13,27,25,17,61,"2023-06-16T21:00:00.000Z",18,99915,90
12,26,24,16,59,"2023-06-16T20:00:00.000Z",18,99951,89
15,36,33,21,70,"2023-06-16T19:00:00.000Z",18,99922,88
10,28,25,15,57,"2023-06-16T18:00:00.000Z",19,99866,84
7,18,16,10,41,"2023-06-16T17:00:00.000Z",20,99841,80
8,18,16,11,45,"2023-06-16T16:00:00.000Z",20,99809,81
8,16,15,10,41,"2023-06-16T15:00:00.000Z",20,99784,83
7,15,14,9,37,"2023-06-16T14:00:00.000Z",18,99823,84
7,16,15,10,41,"2023-06-16T13:00:00.000Z",21,99817,67
6,13,12,8,33,"2023-06-16T12:00:00.000Z",25,99802,51
6,14,13,9,37,"2023-06-16T11:00:00.000Z",25,99832,51
7,16,15,10,41,"2023-06-16T10:00:00.000Z",24,99857,54
